country,Parent_company,Parent_company_URL,Main_activity,brand_name,brand_desc,Brand_website,brand_image,product_name,product_release_date,product_main_accords,product_discription,product_sub_description,product_rating,number_of_ratings,product_image,product_url
Australia,,,Celebrity,TSU LANGE YOR perfumes and colognes,"‘Tsu Lange Yor’ is an old Yiddish toast “To Long Years’. It is a brand developped by pop star and actor Troye Sivan (Australia).DesignerTSU LANGE YORhas6perfumes in our fragrance base. TSU LANGE YOR is a new fragrance brand. The earliest edition was created in 2023 and the newest is from 2025. TSU LANGE YOR fragrances were made in collaboration with perfumers Alexandra Monet, Joey Rosin and Craig Andrade.",https://www.fragrantica.com/designers/Mirads-Parfums.html,https://fimgs.net/mdimg/dizajneri/o.5455.jpg,By Your Side,2025,"woody,amber,smoky,warm spicy,leather,fresh spicy,soft spicy,aromatic,earthy,animalic","By Your SidebyTSU LANGE YORis a fragrance for women and men. This is a new fragrance.By Your Sidewas launched in 2025. Top notes are Pink Pepper, Cardamom and Black Pepper; middle notes are Leather, Frankincense, Smoke and Labdanum; base notes are Cedarwood, Cypriol and Wolfwood.","By Your Side by Tsu Lange is a fragrance that presents a grounded and smoky profile. The scent opens with a sharp edge of pink and black pepper, complemented by cardamom, and is softened by the presence of cedar. It evokes the feeling of being side by side with a lover, whether familiar or newly discovered.",4.02,52,https://fimgs.net/mdimg/perfume-thumbs/375x500.103623.jpg,https://www.fragrantica.com/perfume/TSU-LANGE-YOR/By-Your-Side-103623.html
Australia,,,Celebrity,TSU LANGE YOR perfumes and colognes,"‘Tsu Lange Yor’ is an old Yiddish toast “To Long Years’. It is a brand developped by pop star and actor Troye Sivan (Australia).DesignerTSU LANGE YORhas6perfumes in our fragrance base. TSU LANGE YOR is a new fragrance brand. The earliest edition was created in 2023 and the newest is from 2025. TSU LANGE YOR fragrances were made in collaboration with perfumers Alexandra Monet, Joey Rosin and Craig Andrade.",https://www.fragrantica.com/designers/Mirads-Parfums.html,https://fimgs.net/mdimg/dizajneri/o.5455.jpg,LUCA,2023,"woody,powdery,musky,aromatic,citrus,fresh spicy,warm spicy","LUCAbyTSU LANGE YORis a Floral Woody Musk fragrance for women and men.LUCAwas launched in 2023. Top notes are Bergamot, Black Pepper and elemi; middle notes are Cedarwood, Clary Sage and Moss; base notes are Musk, Sandalwood and Ambrox Super.",,4.08,106,https://fimgs.net/mdimg/perfume-thumbs/375x500.84924.jpg,https://www.fragrantica.com/perfume/TSU-LANGE-YOR/LUCA-84924.html
Australia,,,Celebrity,TSU LANGE YOR perfumes and colognes,"‘Tsu Lange Yor’ is an old Yiddish toast “To Long Years’. It is a brand developped by pop star and actor Troye Sivan (Australia).DesignerTSU LANGE YORhas6perfumes in our fragrance base. TSU LANGE YOR is a new fragrance brand. The earliest edition was created in 2023 and the newest is from 2025. TSU LANGE YOR fragrances were made in collaboration with perfumers Alexandra Monet, Joey Rosin and Craig Andrade.",https://www.fragrantica.com/designers/Mirads-Parfums.html,https://fimgs.net/mdimg/dizajneri/o.5455.jpg,POOL,2023,"aromatic,green,fresh spicy,ozonic,fruity,aquatic,warm spicy,fresh,sweet,musky","POOLbyTSU LANGE YORis a Floral Fruity fragrance for women and men.POOLwas launched in 2023. The nose behind this fragrance is Alexandra Monet. Top notes are Cucumber, Raspberry, Litchi and Bergamot; middle notes are Tomato Leaf, Cassis, Lily of the Valley and Coriander; base notes are Red Pepper, Musk and Ginger.",,4.06,109,https://fimgs.net/mdimg/perfume-thumbs/375x500.84923.jpg,https://www.fragrantica.com/perfume/TSU-LANGE-YOR/POOL-84923.html
Australia,,,Celebrity,TSU LANGE YOR perfumes and colognes,"‘Tsu Lange Yor’ is an old Yiddish toast “To Long Years’. It is a brand developped by pop star and actor Troye Sivan (Australia).DesignerTSU LANGE YORhas6perfumes in our fragrance base. TSU LANGE YOR is a new fragrance brand. The earliest edition was created in 2023 and the newest is from 2025. TSU LANGE YOR fragrances were made in collaboration with perfumers Alexandra Monet, Joey Rosin and Craig Andrade.",https://www.fragrantica.com/designers/Mirads-Parfums.html,https://fimgs.net/mdimg/dizajneri/o.5455.jpg,Sage’s Rose,2025,"rose,floral,fresh spicy,sweet,aromatic,amber","Sage’s RosebyTSU LANGE YORis a fragrance for women and men. This is a new fragrance.Sage’s Rosewas launched in 2025. Top notes are Sugar, Labdanum and Myrrh; middle notes are Damask Rose, Geranium and Poppy; base notes are Vetiver, Amber, Resin and Patchouli.","Sage’s Rose by Tsu Lange Yor is a resinous interpretation of a classic rose fragrance. The composition features myrrh and sugar for a smoky and warm opening, while damask rose, geranium, and poppy flower create floral depth. Amber resin, vetiver, guaiacwood, and patchouli form a rich and earthy base, resulting in a scent that balances sweetness, floral notes, and woody undertones.",4.47,53,https://fimgs.net/mdimg/perfume-thumbs/375x500.114032.jpg,https://www.fragrantica.com/perfume/TSU-LANGE-YOR/Sage-s-Rose-114032.html
Australia,,,Celebrity,TSU LANGE YOR perfumes and colognes,"‘Tsu Lange Yor’ is an old Yiddish toast “To Long Years’. It is a brand developped by pop star and actor Troye Sivan (Australia).DesignerTSU LANGE YORhas6perfumes in our fragrance base. TSU LANGE YOR is a new fragrance brand. The earliest edition was created in 2023 and the newest is from 2025. TSU LANGE YOR fragrances were made in collaboration with perfumers Alexandra Monet, Joey Rosin and Craig Andrade.",https://www.fragrantica.com/designers/Mirads-Parfums.html,https://fimgs.net/mdimg/dizajneri/o.5455.jpg,SALA,2025,"aromatic,woody,green,earthy,floral,sweet,soft spicy,fresh spicy,powdery","SALAbyTSU LANGE YORis a fragrance for women and men. This is a new fragrance.SALAwas launched in 2025. The nose behind this fragrance is Joey Rosin. Top notes are Coriander, Galbanum and Black Pepper; middle notes are Orchid, Vetiver and Cypriol; base notes are Coumarin, Musk and Ambroxan.","SALA is a fragrance that evokes new life and verdant memories. It captures the essence of freshly cut stems, humidity, and nectar, reminiscent of early walks in long grass and the feeling of morning dew, gathered flowers, hidden groves and open eyes alongside love -a note from the brand.",4.24,67,https://fimgs.net/mdimg/perfume-thumbs/375x500.102716.jpg,https://www.fragrantica.com/perfume/TSU-LANGE-YOR/SALA-102716.html
Australia,,,Celebrity,TSU LANGE YOR perfumes and colognes,"‘Tsu Lange Yor’ is an old Yiddish toast “To Long Years’. It is a brand developped by pop star and actor Troye Sivan (Australia).DesignerTSU LANGE YORhas6perfumes in our fragrance base. TSU LANGE YOR is a new fragrance brand. The earliest edition was created in 2023 and the newest is from 2025. TSU LANGE YOR fragrances were made in collaboration with perfumers Alexandra Monet, Joey Rosin and Craig Andrade.",https://www.fragrantica.com/designers/Mirads-Parfums.html,https://fimgs.net/mdimg/dizajneri/o.5455.jpg,TLY 5755,2023,"woody,aromatic,fresh spicy,musky,powdery,green,amber,vanilla,warm spicy","TLY 5755byTSU LANGE YORis a Woody Aromatic fragrance for women and men.TLY 5755was launched in 2023. The nose behind this fragrance is Craig Andrade. Top notes are Black Pepper, Sandalwood and Vetiver; middle notes are Shiso, Cashmeran, Pepper and Amyris; base notes are Vanilla, Iso E Super, Ambroxan, Cedarwood and Coumarin.",,3.92,83,https://fimgs.net/mdimg/perfume-thumbs/375x500.84922.jpg,https://www.fragrantica.com/perfume/TSU-LANGE-YOR/TLY-5755-84922.html
